"Article" "Mean" "Maximum" "Total(Year)"
"Health policy" 236 1984 689881
"Global health" 230 3002 670678
"Venereal Disease Research Laboratory test" 229 659 669131
"Health administration" 228 2100 666763
"Health promotion" 228 2467 665680
"Health care quality" 227 110938 662805
"Adenovirus infection" 221 4428 644910
"Health effects of wine" 220 50005 642060
"Child mortality" 216 1473 632280
"Community-acquired pneumonia" 216 2125 630940
"Viral pneumonia" 213 5273 623699
"World Health Assembly" 211 12593 617412
"List of open-source health software" 209 49524 611822
"Clinton health care plan of 1993" 208 1431 606682
"Causes of mental disorders" 205 7673 599894
"Maternal health" 205 1748 599305
"Contagious disease" 202 989 589838
"Bacterial pneumonia" 201 2814 586233
"1918 flu pandemic in India" 200 5676 583412
"Comparison of the healthcare systems in Canada and the United States" 196 4489 572170
"Lysosomal storage disease" 196 1195 573282
"Women's health" 193 941 565270
"Parasitic disease" 192 6538 559843
"Health insurance coverage in the United States" 191 1177 556813
"National Institute for Health and Care Excellence" 191 1279 557869
"HealthCare.gov" 190 37937 555185
"Cold agglutinin disease" 189 542 551297
"Lumpy skin disease" 189 17494 551760
"Bluetongue disease" 188 6110 549474
"Public health system in India" 187 1438 546021
"Health insurance marketplace" 184 1315 537490
"Usual interstitial pneumonia" 184 1437 537989
"Public health emergency of international concern" 182 8672 532716
"Castleman disease" 178 7332 519862
"Tropical disease" 175 5000 511746
"Critical illness insurance" 174 960 508871
"Director-General of the World Health Organization" 173 1582 505177
"2015–16 Zika virus epidemic" 172 15463 503892
"Public Health England" 171 8126 501101
"Creativity and mental health" 170 761 496727
"Health equity" 170 1610 496902
"Motor neuron diseases" 170 22892 495833
"Coalition for Epidemic Preparedness Innovations" 169 14801 492629
"1817–1824 cholera pandemic" 168 12916 492039
"Hospital-acquired pneumonia" 168 2171 490492
"Systemic disease" 168 1749 489930
"Blood-borne disease" 167 1278 486816
"Berger's disease" 163 1294 475889
"History of mental disorders" 163 2201 477152
"Health effects of tea" 162 739 473632
"Health technology" 161 1113 470357
"Health care prices in the United States" 160 1726 468643
"Community health center" 159 1413 463666
"Holozoic nutrition" 159 827 464226
"1793 Philadelphia yellow fever epidemic" 157 11974 457675
"Massachusetts health care reform" 157 4189 457319
"Malnutrition in India" 156 6237 454475
"Mycobacterium avium-intracellulare infection" 156 1783 455065
"Race and health" 154 4764 449768
"Emerging infectious disease" 153 1479 448323
"First plague pandemic" 151 1392 441966
"Superinfection" 150 2515 438927
"Health care provider" 149 1471 435607
