"Article" "Mean" "Maximum" "Total(Year)"
"Catastrophic illness" 18 496 51437
"Compartmental models (epidemiology)" 18 440 53646
"Contagious bovine pleuropneumonia" 18 559 52447
"Coughs and sneezes spread diseases" 18 5362 52765
"Disease registry" 18 374 51350
"Escape Fire: The Fight to Rescue American Healthcare" 18 286 52934
"Health humanities" 18 165 52088
"Health policy and management" 18 92 53361
"Health Utilities Index" 18 93 51966
"London Declaration on Neglected Tropical Diseases" 18 1129 51515
"Mental illness in ancient Rome" 18 571 52693
"Socioeconomic status and mental health" 18 264 53762
"Chicago 1885 cholera epidemic myth" 17 1000 50030
"Consumer Assessment of Healthcare Providers and Systems" 17 284 49264
"Epidemiology of binge drinking" 17 293 48757
"Health fair" 17 403 50317
"Health policy in Bangladesh" 17 120 48287
"Healthcare in Nicaragua" 17 264 49046
"Healthcare in Sierra Leone" 17 180 48963
"In absentia health care" 17 705 49895
"International Journal of Epidemiology" 17 369 48424
"International Men's Health Week" 17 344 50703
"List of diseases (Y)" 17 487 50062
"National Institute for Communicable Diseases" 17 185 49695
"Vaccine-preventable disease" 17 191 49881
"Blackheart (plant disease)" 16 7080 45844
"Composite Health Care System" 16 52 45397
"Diplomatic illness" 16 708 45813
"Discovery of disease-causing pathogens" 16 269 47657
"Environmental health policy" 16 134 46938
"Glossary of the COVID-19 pandemic" 16 181 47229
"Health effects of alcohol" 16 616 46735
"HealthRoster" 16 123 45555
"Iron Triangle of Health Care" 16 200 46479
"Mental health inequality" 16 139 48206
"National Health Fund" 16 159 45781
"Service Excellence – Health Care" 16 905 47057
"Society for Family Health Nigeria" 16 800 47260
"Weather and climate effects on Lyme disease exposure" 16 167 45674
"Women's health nurse practitioner" 16 524 45851
"1813–1814 Malta plague epidemic" 15 1724 44228
"1929–1930 psittacosis pandemic" 15 6610 43799
"Adult polyglucosan body disease" 15 204 43580
"British Nutrition Foundation" 15 283 43651
"Catheter-associated urinary tract infection" 15 90 45153
"Disease-modifying osteoarthritis drug" 15 516 45152
"Endogenous infection" 15 157 44295
"Epidemiology of childhood obesity" 15 339 43273
"GIS and public health" 15 222 44771
"Global Public Health Intelligence Network" 15 846 45001
"Health care rationing" 15 595 43472
"Landscape epidemiology" 15 140 44686
"List of diseases (I)" 15 496 42626
"List of rare disease organisations" 15 446 43032
"Malaria culture" 15 347 44035
"Mental health in the Middle East" 15 100 43883
"National Comorbidity Survey" 15 422 42681
"National Institute for Public Health and the Environment" 15 408 42610
"Norwegian Institute of Public Health" 15 174 44451
"Online health communities" 15 200 43204
"Undernutrition" 15 630 42470
"Avalere Health" 14 1084 39876
"Disease diffusion mapping" 14 177 41173
"European Prospective Investigation into Cancer and Nutrition" 14 139 40550
"Focus of infection" 14 241 39558
"George Institute for Global Health" 14 131 39824
"Global Health Security Initiative" 14 767 39605
"Health Information and Quality Authority" 14 132 40034
"HealthMap" 14 448 40368
"Journal of Public Health Policy" 14 389 41288
"Lower Mississippi Valley yellow fever epidemic of 1878" 14 225 40320
"Medicines for Malaria Venture" 14 1345 40987
"Mental health triage" 14 436 41317
"National Emerging Infectious Diseases Laboratories" 14 882 42070
"Non-communicable diseases" 14 124 39486
"NutritionDay" 14 203 41555
"Population, health, and the environment" 14 188 42088
"Women's health movement in the United States" 14 453 41994
"2009 swine flu pandemic tables" 13 592 36774
"Alliance for Healthy Cities" 13 629 39328
"Autoimmune disease in women" 13 231 38986
"Castleman Disease Collaborative Network" 13 207 38472
"Centre for Health Protection" 13 502 36959
"Ephialtes (illness)" 13 122 36853
"Groningen epidemic" 13 246 38159
"Health and wealth" 13 72 38205
"Health Consumer Powerhouse" 13 266 38900
"Health systems engineering" 13 101 36537
"Inequality in disease" 13 333 38709
"Journal of Epidemiology and Community Health" 13 237 39181
"List of diseases by year of discovery" 13 3904 37367
"Mental health in New Zealand" 13 549 37806
"Minister of Mental Health" 13 750 39317
"Music therapy for Alzheimer's disease" 13 211 38993
"Neglected tropical diseases in India" 13 269 38802
"Pogosta disease" 13 337 39129
"Public Health Scotland" 13 223 36741
"Puerto Rico Health Reform" 13 710 36546
"Air pollution forecasting" 12 198 34080
"Cardiovascular disease in women" 12 162 34470
"Catholic Health Association of the United States" 12 132 36403
"Fire breather's pneumonia" 12 468 36302
"Global Initiative for Chronic Obstructive Lung Disease" 12 156 35835
"Glycogen storage disease type IX" 12 91 36230
"Health systems strengthening" 12 49 35966
"Human Resources for Health" 12 854 36490
"Journal of Health Economics" 12 147 34545
"List of freeware health software" 12 280 34965
"List of insect-borne diseases" 12 66 34621
"Malaria therapy" 12 365 35822
"Mental health consumer" 12 163 35184
"National Institute of Malaria Research" 12 148 35125
"Pontifical Council for the Pastoral Care of Health Care Workers" 12 242 33679
"President's Malaria Initiative" 12 475 33747
"Public Health Wales" 12 495 35050
"Routine health outcomes measurement" 12 473 34108
"412 BC epidemic" 11 323 31200
"Access Health CT" 11 495 32454
"Anti-AQP4 disease" 11 481 30825
"Caerphilly Heart Disease Study" 11 475 33347
"Childhood chronic illness" 11 200 31094
"Ehrlichiosis ewingii infection" 11 854 33587
"European Society of Clinical Microbiology and Infectious Diseases" 11 448 31585
"Health care ratings" 11 370 31320
"Healthcare in San Marino" 11 153 31945
"Intersex healthcare" 11 10114 30808
"Jansky–Bielschowsky disease" 11 649 32470
"Journal of Clinical Epidemiology" 11 479 31083
"Malaria Atlas Project" 11 981 32347
"Overseas Student Health Cover" 11 121 32289
"Pneumonia (non-human)" 11 151 32477
"Post-tuberculosis lung disease" 11 19040 32261
"Priority-setting in global health" 11 88 31665
"Public Health Inspector (Sri Lanka)" 11 73 32614
"Unicentric Castleman disease" 11 422 32801
"Visitor health insurance" 11 440 33182
"2009 swine flu pandemic timeline summary" 10 303 29782
"Affordable Medicines Facility-malaria" 10 145 28203
"Cancer Epidemiology, Biomarkers & Prevention" 10 98 29647
"Carlos III Health Institute" 10 115 30040
"Computational epidemiology" 10 125 29369
"Cytomegalovirus infection" 10 149 30173
"Environmental health ethics" 10 278 29324
"European Journal of Epidemiology" 10 261 30113
"European Organisation for Rare Diseases" 10 196 28375
"Global Alliance on Health and Pollution" 10 103 30646
"Health Effects Institute" 10 209 27802
"Healthcare scientist" 10 453 29765
"How to Prevent the Next Pandemic" 10 167 28784
"List of diseases (U)" 10 487 29168
"List of diseases spread by arthropods" 10 183 29665
"National Institute of Health, Islamabad" 10 100 29382
"NHS Health Scotland" 10 1363 27831
"Occult pneumonia" 10 77 27841
"Papaya Bunchy Top Disease" 10 195 29041
"Portal:Pandemics" 10 173 29276
"Prime Healthcare" 10 418 28125
"Public Health Nutrition" 10 89 29898
"Public Health Reports" 10 309 29154
"Strengthening the reporting of observational studies in epidemiology" 10 68 30677
"Theiler's disease" 10 50 29210
"Workplace safety in healthcare settings" 10 113 28577
"Airport malaria" 9 1692 25943
"Akureyri disease" 9 171 27259
"BENTA disease" 9 1541 26988
"Conflict epidemiology" 9 237 25120
"Dengue pandemic in Sri Lanka" 9 91 25191
"Diarrheal diseases" 9 343 26472
"Epidemiology (journal)" 9 71 27118
"Epidemiology and Infection" 9 154 27469
"Finnish Institute for Health and Welfare" 9 239 27595
"Global Health Security Agenda" 9 245 24942
"Health and Care Act 2022" 9 170 25240
"Health Sciences Online" 9 842 25111
"Healthcare in Saint Helena" 9 134 27064
"History of public health in the United States" 9 404 26292
"History of Tay–Sachs disease" 9 95 26937
"Infant mental health" 9 165 25652
"Institute for Quality and Efficiency in Health Care" 9 76 26682
"List of species named after the COVID-19 pandemic" 9 9487 25837
"Madras motor neuron disease" 9 143 25027
"Malnutrition in Peru" 9 598 27605
"Mental health tribunal" 9 179 26570
"National Institute for Health and Disability Insurance" 9 65 27407
"Nutritional epigenetics" 9 566 25128
"Office for Health Improvement and Disparities" 9 246 25153
"Pan American Journal of Public Health" 9 896 25338
"Pandemic Preparedness and Response Act" 9 296 25559
"Population health policies and interventions" 9 248 25346
"Principles for the Protection of Persons with Mental Illness" 9 99 25149
"School-based health centers" 9 101 26296
"Simon Hill (nutritionist)" 9 183 25082
"Study of Health in Pomerania" 9 240 27734
"Terminal illness insurance" 9 57 25227
"Africa Fighting Malaria" 8 1239 23883
"Community health agent" 8 52 24796
"Corn stunt disease" 8 169 22599
"Dementia and Alzheimer's disease in Australia" 8 482 24192
"Disability and women's health" 8 140 22273
"Dole Nutrition Institute" 8 124 23288
"Eastern Mediterranean Health Journal" 8 847 24333
"Economic epidemiology" 8 148 23130
"Epidemic models on lattices" 8 69 22366
"Epidemiology data for low-linear energy transfer radiation" 8 398 22433
"EuroHealthNet" 8 143 21988
"European Observatory on Health Systems and Policies" 8 67 24574
"European Public Health Alliance" 8 268 24501
"European Public Health Association" 8 77 23039
"Evolution of Infectious Disease" 8 135 23392
"Federal Service for Surveillance in Healthcare" 8 70 23532
"Global Health Innovative Technology Fund" 8 298 23646
"Global Health Observatory" 8 187 24728
"Global Infectious Disease Epidemiology Network" 8 472 24297
"Globalization and Health" 8 294 24336
"Health ecology" 8 83 23287
"Health effects of sugar" 8 495 24746
"Idiopathic pneumonia syndrome" 8 214 24471
"Intentional contagion of infection" 8 215 23020
"International Society for Pharmacoepidemiology" 8 83 24379
"Journal of Health and Social Behavior" 8 238 22784
"Journal of Public Health" 8 169 22916
"Malarial nephropathy" 8 61 22288
"Massachusetts Department of Mental Health" 8 96 23499
"Mental health care navigator" 8 56 24438
"Mental Health Week (Australia)" 8 235 24814
"Microbiology of Lyme disease" 8 235 23139
"Mold and human health" 8 396 22378
"Nutrition scale" 8 62 23788
"Outline of infectious disease concepts" 8 320 22835
"Outline of public health" 8 212 23150
"Partnership for Maternal, Newborn & Child Health" 8 224 23329
"Preventing Chronic Disease" 8 84 21967
"Rheumatoid disease of the spine" 8 117 24097
"Specific replant disease" 8 121 23218
"Susceptibility and severity of infections in pregnancy" 8 75 23885
"Template:Mental disorders" 8 1372 22124
"Undiagnosed Diseases Network" 8 1329 24085
"Universal Declaration on the Eradication of Hunger and Malnutrition" 8 576 24652
"Victorian Health Promotion Foundation" 8 135 23024
"Women's Health Care Nurse Practitioner-Board Certified" 8 474 23346
"1856 Guam smallpox epidemic" 7 248 18994
"2009 swine flu pandemic actions concerning pigs" 7 436 19321
"Acute eosinophilic pneumonia" 7 153 19913
"African Malaria Network Trust" 7 1100 19137
"Air pollution and traffic congestion in Tehran" 7 130 21584
"Air pollution in Lahore" 7 742 20601
"Annual Review of Public Health" 7 66 20089
"Applications of sensitivity analysis in epidemiology" 7 6527 20648
"Autoimmune skin diseases in dogs" 7 148 20471
"Bahima disease" 7 173 19003
"Bandim Health Project" 7 311 20795
"Bill of health" 7 213 21046
"Depression of Alzheimer disease" 7 122 19623
"Disease Control Priorities Project" 7 160 21079
"Diseases of abnormal polymerization" 7 115 19380
"Eradication of malaria" 7 243 21511
"European Journal of Public Health" 7 63 19593
"Global Health Action" 7 141 20364
"Health 21" 7 132 20157
"Health care in Mozambique" 7 126 20430
"Health Emergencies Programme (WHO)" 7 198 19138
"Health extension officer" 7 190 21517
"Health Promotion International" 7 99 20069
"Health Protection Surveillance Centre" 7 414 21390
"Health surveillance" 7 686 20135
"Infectious Diseases Institute" 7 74 21356
"Intradialytic parenteral nutrition" 7 42 21199
"ITU-WHO Focus Group on Artificial Intelligence for Health" 7 397 20559
"Journal of Exposure Science and Environmental Epidemiology" 7 160 19523
"Journal of Health Care for the Poor and Underserved" 7 67 20985
"Journal of Health Communication" 7 438 19199
"Journal of Immigrant and Minority Health" 7 39 19043
"List of diseases (0–9)" 7 488 19577
"Malaria in Mandatory Palestine" 7 596 19330
"Managerial epidemiology" 7 80 20841
"Mental health in Ireland" 7 130 21621
"Mycoplasma ovipneumoniae" 7 112 20428
"Nutrition in classical antiquity" 7 68 20522
"Pacific Open Learning Health Net" 7 103 21744
"Prevention of Tay–Sachs disease" 7 136 20219
"Price-Pottenger Nutrition Foundation" 7 155 21838
"Pullorum disease" 7 123 20522
"Social Psychiatry and Psychiatric Epidemiology" 7 79 20592
"STOP Foodborne Illness" 7 111 21844
"United States Senate Health Subcommittee on Primary Health and Retirement Security" 7 115 20130
"World Chagas Disease Day" 7 271 19098
"World Health Organization Composite International Diagnostic Interview" 7 69 21538
"1789–1790 influenza epidemic" 6 202 16207
"1915 typhus and relapsing fever epidemic in Serbia" 6 177 18042
"1985 World Health Organization AIDS surveillance case definition" 6 154 16285
"1998 Winter Olympics flu epidemic" 6 325 16582
"2022–2024 National Health Service strikes" 6 392 16248
"Air pollution in Macau" 6 94 18280
"Alliance for Health Policy and Systems Research" 6 1234 16243
"Annals of Epidemiology" 6 396 17286
"Apparent infection rate" 6 56 18012
"Asia-Pacific Journal of Public Health" 6 475 17488
"Biologically based mental illness" 6 39 16669
"Black Women's Health Study" 6 51 18561
"Boston Health Care for the Homeless Program" 6 400 17536
"Canadian Journal of Public Health" 6 130 17657
"Catholic Health Australia" 6 174 18558
"Civet SARS-CoV" 6 157 18228
"Colorado Department of Health Care Policy and Financing" 6 477 16793
"Deaf mental health care" 6 91 16385
"E-epidemiology" 6 69 18799
"Epidemiology of child psychiatric disorders" 6 423 17790
"Fair Share Health Care Act" 6 476 18940
"Global Forum for Health Research" 6 71 18137
"Global Public Health (journal)" 6 78 16378
"Global Research Collaboration for Infectious Disease Preparedness" 6 115 17587
"Health Action International" 6 592 16845
"Health and Human Rights" 6 135 18940
"Health Care for Women International" 6 49 17627
"Health cash plan" 6 82 17211
"Health Communication (journal)" 6 42 17980
"Health Communication Network" 6 397 16774
"Health in Northern Cyprus" 6 92 18419
"Health promotion in higher education" 6 369 17800
"History of public health in the United Kingdom" 6 538 18260
"International Union of Air Pollution Prevention and Environmental Protection Associations" 6 75 16496
"Jembrana disease" 6 162 17586
"Journal of American College Health" 6 132 17717
"Journal of Community Health" 6 193 18728
"Journal of Urban Health" 6 85 18847
"Laboratory-acquired infection" 6 92 18860
"Malaria Eradication Scientific Alliance" 6 588 16753
"Measles hemagglutinin" 6 54 16993
"Mental health informatics" 6 127 16955
"National Institute of Public Health of Japan" 6 93 17738
"National Public Health Organization (Greece)" 6 89 16152
"Pneumonia alba" 6 239 18604
"Public health observatory" 6 89 16886
"Qualitative Health Research" 6 67 18622
"Rare Diseases Clinical Research Network" 6 90 17062
"Severe malaria" 6 830 17560
"Social Health Authority (Kenya)" 6 180 16597
"The Dancing Mania, an epidemic of the Middle Ages" 6 230 16850
"United States Health Care Reform: Progress to Date and Next Steps" 6 188 17494
"Viral disease testing" 6 79 16927
"Your Health Idaho" 6 93 17349
"Youth mental health crisis" 6 147 16314
"1770s Pacific Northwest smallpox epidemic" 5 4879 13537
"1853 yellow fever epidemic" 5 422 14116
"1870 Barcelona yellow fever epidemic" 5 115 15362
"1906 malaria outbreak in Ceylon" 5 246 15223
"1967 Marburg virus disease outbreak" 5 1388 15828
"African Health Sciences" 5 56 14010
"Air pollution in Iran" 5 181 13914
"Air pollution in Karachi" 5 66 13285
"Alzheimer's disease among East Asians" 5 107 15966
"Amazon Malaria Initiative" 5 1140 15395
"Bamrasnaradura Infectious Diseases Institute" 5 138 13223
"Biotin-thiamine-responsive basal ganglia disease" 5 119 13930
"BMJ Global Health" 5 135 14993
"Bureau of Health Workforce" 5 471 14574
"Canadian House of Commons Standing Committee on Health" 5 181 14490
"Child health in Uganda" 5 244 13905
"Commercial determinants of health" 5 247 15822
"Committee on Health, Labour, and Social Affairs" 5 67 14103
"Community Dentistry and Oral Epidemiology" 5 159 13307
"Effects of climate change on health in the United Kingdom" 5 1118 15570
"EMBRACE Healthcare Reform Plan" 5 26 13283
"Engineering World Health" 5 113 14191
"Global Network for Neglected Tropical Diseases" 5 42 14475
"Global Strategy for Women's and Children's Health" 5 64 14776
"Grand Challenges in Global Health" 5 350 13789
"Health & Place" 5 159 15966
"Health & Social Care in the Community" 5 41 13196
"Health Disparities Center" 5 94 13387
"Health Education & Behavior" 5 32 14739
"Health effects of wood smoke" 5 272 14680
"Health information-seeking behaviour" 5 109 15007
"Healthcare Quality Improvement Partnership" 5 84 13941
"Healthy development measurement tool" 5 55 13473
"High-dependency unit (mental health)" 5 29 13634
"Illinois Health Benefits Exchange" 5 230 13533
"Imagine No Malaria" 5 566 15113
"Inquiry (health journal)" 5 50 14655
"LGBT Health (journal)" 5 45 15190
"LGBTQ health" 5 1362 14732
"Lyme Disease Awareness Month" 5 174 14708
"Malaria Control Project" 5 71 14226
"Malaria in the River Thames" 5 84 14325
"Malaria Journal" 5 170 15110
"Malnutrition in Kerala" 5 54 15022
"Mater Health Services North Queensland" 5 164 15962
"Measles & Rubella Initiative" 5 215 15848
"Menstruation and mental health" 5 155 15724
"Mental health in Palestine" 5 95 13246
"Mental health of LGBTQ people" 5 136 14761
"Mental Health, Religion & Culture" 5 182 14551
"Microbicides for sexually transmitted infections" 5 127 13850
"Miscarriage and mental disorders" 5 169 13171
"Mississippi Department of Mental Health" 5 37 13565
"National Foundation for Infectious Diseases" 5 48 13657
"Network for Capacity Development in Nutrition" 5 689 14466
"Nevada Health Link" 5 38 15763
"New Mexico Health Insurance Exchange" 5 94 13540
"Nurse-managed health center" 5 74 15767
"Nutrition Foundation of the Philippines" 5 1140 15177
"Pathogens and Global Health" 5 184 13462
"Philippine Senate Committee on Health and Demography" 5 465 15604
"Population Health Management" 5 119 15361
"Prism Health" 5 64 13856
"Progress in Community Health Partnerships" 5 471 13879
"Public Health (journal)" 5 53 14087
"Real-time outbreak and disease surveillance" 5 176 15279
"Science diplomacy and pandemics" 5 576 14992
"SMART Health Card" 5 206 15019
"Smell as evidence of disease" 5 89 13711
"Societal and cultural aspects of Tay–Sachs disease" 5 42 14394
"South African Malaria Initiative" 5 1726 13400
"Target Malaria" 5 171 15513
"The Nation's Health" 5 150 13682
"The Trøndelag Health Study" 5 155 15825
"Waterborne disease and climate change" 5 89 14056
"Whole Health Action Management" 5 150 14287
"1580 influenza pandemic" 4 507 11183
"1707–08 Iceland smallpox epidemic" 4 148 12778
"1896 Gloucester smallpox epidemic" 4 150 11144
"1924–1925 Minnesota smallpox epidemic" 4 83 12322
"1994 expanded World Health Organization AIDS case definition" 4 125 10322
"2021 South Sudan disease outbreak" 4 743 10874
"2024 Kwango province malaria outbreak" 4 962 11361
"Alberta Health Insurance Act (1935)" 4 26 11886
"Alzheimer's disease in African Americans" 4 101 11921
"American Association for the Study and Prevention of Infant Mortality" 4 37 11222
"American College of Epidemiology" 4 364 12146
"American Journal of Public Health and the Nation's Health" 4 440 10632
"Association of Medical Microbiology and Infectious Disease Canada" 4 31 11354
"Australian Longitudinal Study on Women's Health" 4 471 11303
"Australian Measles Control Campaign" 4 162 10866
"Bangladesh National Nutrition Council" 4 23 10599
"Belgian Health Care Knowledge Centre" 4 82 10862
"Busselton Health Study" 4 471 11828
"Cancer Epidemiology (journal)" 4 37 10800
"Center for Global Infectious Disease Research" 4 78 12150
"Children's right to adequate nutrition in New Zealand" 4 28 10553
"Cinematography in healthcare" 4 57 10400
"Clinical Epidemiology (journal)" 4 55 12934
"Committee for Health" 4 82 11501
"Community Health Clubs in Africa" 4 234 10269
"Congenital malaria" 4 219 10248
"Creutzfeldt-Jakob Disease Surveillance System" 4 231 10649
"Critical Public Health" 4 55 12876
"Cure Rare Disease" 4 151 11688
"Defined contribution health benefits" 4 35 12444
"Directorate of Health" 4 81 10548
"Emerging Themes in Epidemiology" 4 69 10657
"Epidemiology and Psychiatric Sciences" 4 42 12812
"Epidemiology in Country Practice" 4 2643 13088
"Ethical and Religious Directives for Catholic Health Care Services" 4 705 12749
"European Working Group for Legionella Infections" 4 162 10595
"Evolutionary epidemiology" 4 133 11326
"Gastropod-borne parasitic disease" 4 69 12485
"GATAD2B-associated neurodevelopmental disorder" 4 88 10233
"Genetic Epidemiology (journal)" 4 235 12405
"Global Health Delivery Project" 4 162 12011
"Global Malaria Action Plan" 4 47 12836
"Health Data Insight" 4 122 12780
"Health Information National Trends Survey" 4 35 11917
"Health Promotion Practice" 4 56 13023
"Health Security Express" 4 63 10594
"Health Threat Unit" 4 469 11428
"Health-related embarrassment" 4 99 12807
"Healthcare transport" 4 50 10541
"Infectious Disease (Notification) Act 1889" 4 62 12787
"Infectious Disease Pharmacokinetics Laboratory" 4 106 12374
"Institute of Public Health (Bangladesh)" 4 33 11224
"International Federation of Environmental Health" 4 102 10931
"International Journal of Men's Health" 4 149 11094
"International Journal of Public Health" 4 73 12651
"International Journal of Qualitative Studies on Health and Well-being" 4 56 10558
"International Network of Health Promoting Hospitals and Health Services" 4 81 11175
"International Partnership on Avian and Pandemic Influenza" 4 195 11472
"Iranian Journal of Public Health" 4 147 10417
"Islam and mental health" 4 62 11843
"Journal for Healthcare Quality" 4 31 10329
"Journal of Public Health Management & Practice" 4 41 11508
"Malaria in the Caribbean" 4 120 10600
"Malaria No More UK" 4 78 12707
"Malaria Policy Advisory Committee" 4 653 11766
"Malnutrition in Zimbabwe" 4 382 11706
"Malnutrition–inflammation complex" 4 65 10314
"Mekong Basin Disease Surveillance" 4 34 12716
"Men's health in Australia" 4 44 10643
"Mental health in Southeast Africa" 4 52 13030
"National Health Insurance Fund" 4 78 12170
"National Perinatal Epidemiology Unit" 4 70 10732
"National public health institute" 4 106 12714
"Nature exposure and mental health" 4 79 12537
"Neuroepidemiology (journal)" 4 24 12331
"Nutrition and Education International" 4 205 12176
"Obstacles to receiving mental health services among African American youth" 4 126 11718
"Paediatric and Perinatal Epidemiology" 4 49 12653
"Perspectives in Public Health" 4 222 12050
"Philippine House Committee on Health" 4 97 10901
"Plague epidemics in Malta" 4 77 12129
"Population Health Metrics" 4 27 10749
"Public health policy" 4 199 12509
"Puerto Rico Administration of Mental Health and Anti-Addiction Services" 4 24 12918
"Scandinavian Journal of Work, Environment & Health" 4 52 11868
"Sexual and Reproductive Health Matters" 4 66 12762
"Sissel v. United States Department of Health & Human Services" 4 1189 12032
"Smallpox epidemic" 4 81 10861
"Society of Infectious Diseases Pharmacists" 4 295 13126
"Swedish Association of Health Professionals" 4 120 11275
"Template:Eradication of infectious disease" 4 841 11536
"The European Journal of Health Economics" 4 45 12425
"Top dying disease" 4 53 11496
"UK Health Alliance on Climate Change" 4 293 10918
"Zoonoses and Public Health" 4 38 11222
"2023 Ohio pneumonia outbreak" 3 602 8263
"African Nutrition Leadership Programme" 3 68 9210
"Alzheimer's Disease Cooperative Study" 3 102 8190
"American Journal of Health Behavior" 3 255 9700
"Antisemitism in health care" 3 270 8848
"Asia Pacific Leaders Malaria Alliance" 3 162 9601
"Australian Journal of Primary Health" 3 37 9221
"Bangladesh Institute of Child Health" 3 28 8571
"Buerger disease" 3 20 8045
"C3 Collaborating for Health" 3 29 7679
"Centre for Health and International Relations" 3 239 7754
"CHAI disease" 3 36 8626
"Child Health and Nutrition Research Initiative" 3 132 9505
"Child Health International" 3 107 8727
"Children's Health Protection Advisory Committee" 3 123 9344
"Choosing Healthplans All Together" 3 51 9544
"Diarrhoeal disease" 3 55 9512
"Drug, Healthcare and Patient Safety" 3 25 8463
"Epidemic polyarthritis" 3 52 8383
"Epidemiology in Relation to Air Travel" 3 1955 7366
"EU4Health" 3 422 8623
"European Health Examination Survey" 3 19 8732
"European Society for Paediatric Infectious Diseases" 3 128 9242
"Evaluation & the Health Professions" 3 42 9717
"Federation of European Nutrition Societies" 3 44 9854
"Global Action Fund for Fungal Infections" 3 1090 8680
"Goal-oriented health care" 3 39 9170
"Gold Coast Influenza Epidemic" 3 264 8312
"Graduate School of Health Economics and Management" 3 50 8623
"Health Books International" 3 162 8177
"Health care efficiency measures" 3 25 7711
"Health economics (Germany)" 3 23 8857
"Health Economics, Policy and Law" 3 49 9086
"Health Insurance Organisation" 3 54 7556
"Health insurance premium index" 3 52 8645
"Health Services Workers' Union" 3 93 8730
"Healthcare chaplaincy" 3 108 9703
"Healthlink Worldwide" 3 37 9795
"History of public health in Australia" 3 469 9658
"History of public health in Canada" 3 425 7528
"Human Heredity and Health in Africa" 3 115 8029
"Independent Panel for Pandemic Preparedness and Response" 3 70 7707
"Institute of Child and Mother Health" 3 101 7491
"International Centre for Migration and Health" 3 422 7555
"International Conference on Emerging Infectious Diseases" 3 149 9175
"International Health (journal)" 3 29 10077
"International Health Exhibition" 3 139 9639
"International Journal of Technology Assessment in Health Care" 3 100 9460
"International Society for Environmental Epidemiology" 3 117 8939
"International Volcanic Health Hazard Network" 3 60 9071
"Joondalup Family Health Study" 3 123 7385
"Journal of Epidemiology" 3 49 8623
"Journal of Health Management" 3 50 9617
"Kigali Declaration on Neglected Tropical Diseases" 3 117 7839
"LGBTI Health Summit" 3 245 8688
"List of mental disorders in the DSM-IV and DSM-IV-TR (alphabetical)" 3 81 9682
"Malaria Day in the Americas" 3 169 10064
"Maternal and Child Health Handbook" 3 103 8123
"Medical and Health Workers' Union of Nigeria" 3 82 8328
"Mental Health (Care and Treatment) Act" 3 61 9708
"National Air Pollution Symposium" 3 61 8940
"National Health Insurance Authority" 3 143 7326
"National Primary Health Care Development Agency (Nigeria)" 3 252 7323
"Nutritional psychiatry" 3 133 8818
"Outline of the COVID-19 pandemic" 3 98 9578
"Pneumonia jacket" 3 371 10051
"Public Health Ethics" 3 47 10109
"Regional Forum on Environment and Health in Southeast and East Asian Countries" 3 63 8383
"Science & Environmental Health Network" 3 49 8272
"Social media use in health awareness" 3 137 9849
"Social Work in Public Health" 3 63 10043
"Society and Mental Health" 3 112 9229
"Spatial and Spatio-temporal Epidemiology" 3 125 7736
"Standing Committee on Health and Care Services" 3 39 10191
"Sustainable healthcare" 3 255 10190
"Template:Disease-stub" 3 32 9880
"Template:Malaria" 3 1065 9767
"Template:Plant nutrition" 3 42 7686
"Tennessee cholera epidemic (1849–1850)" 3 73 7617
"The Journal of Mental Health Policy and Economics" 3 36 8551
"The Quiet Epidemic" 3 403 9028
"Tick-Borne Disease Alliance" 3 33 9754
"UCSC Malaria Genome Browser" 3 394 9719
"United States Senate Committee on Public Health and National Quarantine" 3 20 7336
"WHO Hub for Pandemic and Epidemic Intelligence" 3 119 8507
"Women Leaders in Global Health Conference" 3 988 7603
"1626 influenza pandemic" 2 52 7009
"1782 Influenza pandemic" 2 62 5135
"1875–1876 Australia scarlet fever epidemic" 2 82 4773
"1963 Wrocław smallpox epidemic" 2 300 5525
"African Health Economics and Policy Association" 2 40 6379
"Biomarkers of Alzheimer's disease" 2 31 4971
"Canadian Society for Epidemiology and Biostatistics" 2 49 7060
"Cohorts for Heart and Aging Research in Genomic Epidemiology" 2 40 5453
"Commission on Accreditation of Healthcare Management Education" 2 36 5251
"Committee on Health and Welfare" 2 48 5453
"Connecting Organizations for Regional Disease Surveillance" 2 124 4833
"Coronavirus pandemic anti-Muslim riots in India" 2 663 5433
"Cytomegaloviral disease" 2 19 4384
"Digital health interventions" 2 223 5242
"Education, Science, Culture and Public Health Committee" 2 45 5641
"Edward & Cynthia Institute of Public Health" 2 59 5746
"Epidemics (journal)" 2 86 7250
"Epidemiology of gonorrhoea" 2 97 7169
"Evolution, Medicine, and Public Health" 2 31 4425
"Global Climate and Health Alliance" 2 61 7031
"Global Health Share Initiative" 2 20 5505
"Health and Social Protection Federation" 2 31 4653
"Health benefits of quitting alcohol" 2 222 5113
"Health Care Compact" 2 19 7245
"Health care time and motion study" 2 57 4682
"Health disaster" 2 43 5622
"Health of Hillary Clinton" 2 15 6809
"Health, Risk & Society" 2 33 6706
"Healthcare in Tristan da Cunha" 2 22 5319
"Healthcare payment" 2 80 6490
"Healthcare policies of candidates in the 2008 United States presidential election" 2 19 4775
"Independent mental health advocacy" 2 78 6910
"Institute of Nutrition of Central America and Panama" 2 49 5691
"International Society for Infectious Diseases in Obstetrics and Gynaecology" 2 19 6105
"Irish Nutrition and Dietetic Institute" 2 128 6805
